Fall,Term Code,College,Dept.,Degree,Major Code,Major Name,Conc. Code,Conc. Name,Total,Male,Female,Unknown,Academic Program Code,,Female Pre
2015,120158,KV ,303,BALAS ,1008,African American Studies ,  ,  ,1,1,0,0,10KV8037BALA,,0
2015,120158,KV ,303,BALAS ,1008,African American Studies ,  ,  ,10,2,8,0,10KV1008BALA,,0.8
2015,120158,KL ,306,MS ,5188,Agricultural Production ,5166,Professional Science Masters ,8,2,6,0,1PKS5188MS,,0.75
2015,120158,KL ,306,MS ,5186,Bioenergy ,5166,Professional Science Masters ,19,12,7,0,1PKS5186MS,,0.368421053
2015,120158,KV ,324,MA ,344,Sociology ,  ,  ,1,0,1,0,10KS0344MA,,1
2015,120158,KV ,324,BALAS ,344,Sociology ,  ,  ,19,6,13,0,10KV8037BALA,,0.684210526
2015,120158,KV ,324,BALAS ,344,Sociology ,  ,  ,172,82,90,0,10KV0344BALA,,0.523255814
2015,120158,KV ,324,PHD ,344,Sociology ,  ,  ,49,19,30,0,10KS0344PHD,,0.612244898
2015,120158,KN ,335,BS ,5391,Learning and Education Studies ,5389,Workplace Trng & Development ,7,1,6,0,10KN5391BS,,0.857142857
2015,120158,KN ,335,BS ,5391,Learning and Education Studies ,5417,"Dig. Env. Lrnng, Tchng, Agency ",1,0,1,0,10KN5391BS,,1
2015,120158,KN ,335,BS ,5391,Learning and Education Studies ,5388,Ed Equlty & Cltrl Understandng ,5,1,4,0,10KN5391BS,,0.8
2015,120158,KN ,335,NDEG ,67,Nondegree ,  ,  ,6,1,5,0,10KN0067NDEG,,0.833333333
2015,120158,KN ,335,BS ,5391,Learning and Education Studies ,5387,Applied Learning Science ,5,2,3,0,10KN5391BS,,0.6
2015,120158,KN ,335,NONE ,4089,Pre-Early Chld/Elem Ed/Spec Ed ,  ,  ,22,3,19,0,10KN4089NONE,,0.863636364
2015,120158,KN ,335,BS ,5391,Learning and Education Studies ,  ,  ,9,1,8,0,10KN5391BS,,0.888888889
2015,120158,KL ,342,BS ,5318,Agric Leadership & Sci Educ ,5319,Agricultural Science Education ,24,8,16,0,10KL5319BS,,0.666666667
2015,120158,KL ,342,BS ,5318,Agric Leadership & Sci Educ ,5320,Agricultural Leadership Educ ,31,13,18,0,10KL5320BS,,0.580645161
2015,120158,KL ,342,MS ,181,Agricultural Education ,  ,  ,10,4,6,0,10KS0181MS,,0.6
2015,120158,KP ,343,MS ,408,Bioengineering ,  ,  ,12,7,5,0,10KS0408MS,,0.416666667
2015,120158,KP ,343,MENGR ,5398,Bioinstrumentation ,  ,  ,12,7,5,0,1PKS5398MENG,,0.416666667
2015,120158,KP ,343,BS ,408,Bioengineering ,  ,  ,249,130,119,0,10KP0408BS,,0.477911647
2015,120158,KP ,343,PHD ,408,Bioengineering ,  ,  ,57,30,27,0,10KS0408PHD,,0.473684211
2015,120158,KM ,346,NDEG ,71,Accountancy ,73,Accountancy Postb ,5,3,2,0,1PKM0073NDEU,,0.4
2015,120158,KM ,346,MAS ,71,Accountancy ,5101,Taxation ,2,1,1,0,10KS0071MAS,,0.5
2015,120158,KM ,346,MAS ,71,Accountancy ,5469,Info Technology and Control ,1,0,1,0,10KS0071MAS,,1
2015,120158,KM ,346,MS ,5187,Taxation ,  ,  ,24,7,17,0,10KS5187MSK2,,0.708333333
2015,120158,KM ,346,PHD ,71,Accountancy ,  ,  ,22,14,8,0,10KS0071PHD,,0.363636364
2015,120158,KM ,346,MAS ,71,Accountancy ,  ,  ,304,152,152,0,10KS0071MAS,,0.5
2015,120158,KM ,346,MS ,71,Accountancy ,  ,  ,143,22,121,0,10KS0071MSK,,0.846153846
2015,120158,KM ,346,BS ,71,Accountancy ,  ,  ,945,495,450,0,10KM0071BS,,0.476190476
2015,120158,KV ,361,MS ,324,Entomology ,  ,  ,11,6,5,0,10KS0324MS,,0.454545455
2015,120158,KV ,361,PHD ,324,Entomology ,  ,  ,31,17,14,0,10KS0324PHD,,0.451612903
2015,120158,KV ,362,BALAS ,285,E Asian Languages & Cultures ,  ,  ,4,1,3,0,10KV8037BALA,,0.75
2015,120158,KV ,362,PHD ,285,E Asian Languages & Cultures ,5367,Sec Lang Acquis & Teacher Ed ,1,0,1,0,10KS0285PHD,,1
2015,120158,KV ,362,BALAS ,285,E Asian Languages & Cultures ,  ,  ,41,14,27,0,10KV0285BALA,,0.658536585
2015,120158,KV ,362,MA ,5311,East Asian Studies ,  ,  ,18,9,9,0,10KS5311MA,,0.5
2015,120158,KV ,362,PHD ,285,E Asian Languages & Cultures ,  ,  ,24,7,17,0,10KS0285PHD,,0.708333333
2015,120158,KV ,377,MS ,5461,Plant Biotechnology ,5166,Professional Science Masters ,3,2,1,0,1PKS5461MS,,0.333333333
2015,120158,KV ,377,MS ,320,Plant Biology ,  ,  ,5,1,4,0,10KS0320MS,,0.8
2015,120158,KV ,377,PHD ,320,Plant Biology ,  ,  ,31,13,18,0,10KS0320PHD,,0.580645161
2015,120158,KV ,383,MS ,5107,"Ecol, Evol, Conservation Biol ",  ,  ,2,1,1,0,10KS5107MS,,0.5
2015,120158,KV ,383,BALAS ,438,Integrative Biology ,  ,  ,1,0,1,0,10KV8037BALA,,1
2015,120158,KV ,383,BSLAS ,438,Integrative Biology ,  ,  ,12,5,7,0,10KV8037BSLA,,0.583333333
2015,120158,KV ,383,BSLAS ,438,Integrative Biology ,5028,Honors Integrative Biology ,8,1,7,0,10KV8037BSLA,,0.875
2015,120158,KV ,383,MS ,314,Biology ,315,"Ecology, Ethology, Evolution ",4,1,3,0,10KS0315MS,,0.75
2015,120158,KV ,383,BSLAS ,438,Integrative Biology ,5028,Honors Integrative Biology ,34,13,21,0,10KV5028BSLA,,0.617647059
2015,120158,KV ,383,PHD ,314,Biology ,315,"Ecology, Ethology, Evolution ",8,5,3,0,10KS0315PHD,,0.375
2015,120158,KV ,383,PHD ,5107,"Ecol, Evol, Conservation Biol ",  ,  ,32,13,19,0,10KS5107PHD,,0.59375
2015,120158,KV ,383,BSLAS ,438,Integrative Biology ,  ,  ,347,134,213,0,10KV0438BSLA,,0.613832853
2015,120158,KV ,397,BSLAS ,314,Biology ,3993,Biology Teacher Educ Option ,5,2,3,0,10KV3993BSLA,,0.6
2015,120158,KV ,397,BSLAS ,314,Biology ,3993,Biology Teacher Educ Option ,1,1,0,0,10KV8037BSLA,,0
2015,120158,KV ,397,NONE ,314,Biology ,  ,  ,712,293,419,0,10KV0314NONE,,0.588483146
2015,120158,KV ,405,BALAS ,74,Economics ,  ,  ,77,52,25,0,10KV8037BALA,,0.324675325
2015,120158,KV ,405,PHD ,74,Economics ,  ,  ,114,72,42,0,10KS0074PHD,,0.368421053
2015,120158,KV ,405,MS ,74,Economics ,3925,Policy Economics ,133,78,55,0,10KS3925MS,,0.413533835
2015,120158,KV ,405,BALAS ,74,Economics ,  ,  ,817,602,215,0,10KV0074BALA,,0.263157895
2015,120158,KT ,408,BS ,279,Communications ,  ,  ,1,1,0,0,10KT0279BS,,0
2015,120158,KT ,408,MS ,277,Advertising ,  ,  ,27,4,23,0,10KS0277MS,,0.851851852
2015,120158,KT ,408,BS ,277,Advertising ,  ,  ,562,182,380,0,10KT0277BS,,0.676156584
